date,time,datetime,region,indicator,importance,prev,forecast,actual,tf_category
2018-10-17 00:00:00,16:00,2018-10-17 16:00:00,中国,9月新增人民币贷款(亿元),重要,12800.0,12771.43,13800.0,credit
2018-10-17 00:00:00,16:00,2018-10-17 16:00:00,中国,9月M1:同比(%),重要,3.9,4.07,4.0,credit
2018-10-17 00:00:00,16:00,2018-10-17 16:00:00,中国,9月M0:同比(%),重要,3.3,,2.2,credit
2018-10-17 00:00:00,16:00,2018-10-17 16:00:00,中国,9月M2:同比(%),重要,8.2,8.21,8.3,credit
2018-10-17 00:00:00,16:00,2018-10-17 16:00:00,中国,9月社会融资规模存量:同比(%),重要,11.52,9.8,11.21,credit
2018-10-19 00:00:00,10:00,2018-10-19 10:00:00,中国,第三季度GDP:当季同比(%),重要,6.9,6.61,6.7,growth
2018-10-31 00:00:00,09:00,2018-10-31 09:00:00,中国,10月官方制造业PMI(%),重要,50.8,50.87,50.2,pmi
2018-11-09 00:00:00,09:30,2018-11-09 09:30:00,中国,10月PPI:同比(%),重要,3.6,3.27,3.3,inflation
2018-11-09 00:00:00,09:30,2018-11-09 09:30:00,中国,10月CPI:同比(%),重要,2.5,2.45,2.5,inflation
2018-11-13 00:00:00,16:45,2018-11-13 16:45:00,中国,10月社会融资规模:当月值(亿元),重要,23061.25,10412.5,9537.8,credit
2018-11-13 00:00:00,16:45,2018-11-13 16:45:00,中国,10月新增人民币贷款(亿元),重要,13800.0,8492.31,6970.0,credit
2018-11-13 00:00:00,16:45,2018-11-13 16:45:00,中国,10月M1:同比(%),重要,4.0,4.4,2.7,credit
2018-11-13 00:00:00,16:45,2018-11-13 16:45:00,中国,10月M0:同比(%),重要,2.2,,2.8,credit
2018-11-13 00:00:00,16:45,2018-11-13 16:45:00,中国,10月M2:同比(%),重要,8.3,8.28,8.0,credit
2018-11-13 00:00:00,16:45,2018-11-13 16:45:00,中国,10月社会融资规模存量:同比(%),重要,11.21,10.6,10.79,credit
2018-11-30 00:00:00,09:00,2018-11-30 09:00:00,中国,11月官方制造业PMI(%),重要,50.2,50.3,50.0,pmi
2018-12-09 00:00:00,09:30,2018-12-09 09:30:00,中国,11月CPI:同比(%),重要,2.5,2.38,2.2,inflation
2018-12-09 00:00:00,09:30,2018-12-09 09:30:00,中国,11月PPI:同比(%),重要,3.3,2.67,2.7,inflation
2018-12-11 00:00:00,17:00,2018-12-11 17:00:00,中国,11月社会融资规模:当月值(亿元),重要,9537.8,13870.0,16127.17,credit
2018-12-11 00:00:00,17:00,2018-12-11 17:00:00,中国,11月新增人民币贷款(亿元),重要,6970.0,11306.67,12500.0,credit
2018-12-11 00:00:00,17:00,2018-12-11 17:00:00,中国,11月M1:同比(%),重要,2.7,3.1,1.5,credit
2018-12-11 00:00:00,17:00,2018-12-11 17:00:00,中国,11月M0:同比(%),重要,2.8,,2.8,credit
2018-12-11 00:00:00,17:00,2018-12-11 17:00:00,中国,11月M2:同比(%),重要,8.0,8.08,8.0,credit
2018-12-11 00:00:00,17:00,2018-12-11 17:00:00,中国,11月社会融资规模存量:同比(%),重要,10.79,9.9,10.31,credit
2018-12-31 00:00:00,09:00,2018-12-31 09:00:00,中国,12月官方制造业PMI(%),重要,50.0,,49.4,pmi
2019-01-10 00:00:00,09:30,2019-01-10 09:30:00,中国,12月PPI:同比(%),重要,2.7,1.42,0.9,inflation
2019-01-10 00:00:00,09:30,2019-01-10 09:30:00,中国,12月CPI:同比(%),重要,2.2,2.04,1.9,inflation
2019-01-15 00:00:00,16:00,2019-01-15 16:00:00,中国,12月新增人民币贷款(亿元),重要,12500.0,7438.46,10800.0,credit
2019-01-15 00:00:00,16:00,2019-01-15 16:00:00,中国,12月M1:同比(%),重要,1.5,2.0,1.5,credit
2019-01-15 00:00:00,16:00,2019-01-15 16:00:00,中国,12月M0:同比(%),重要,2.8,5.5,3.6,credit
2019-01-15 00:00:00,16:00,2019-01-15 16:00:00,中国,12月M2:同比(%),重要,8.0,8.18,8.1,credit
2019-01-15 00:00:00,16:00,2019-01-15 16:00:00,中国,12月社会融资规模:当月值(亿元),重要,16127.17,11712.5,19311.17,credit
2019-01-15 00:00:00,16:00,2019-01-15 16:00:00,中国,12月社会融资规模存量:同比(%),重要,10.31,9.65,10.26,credit
2019-01-21 00:00:00,10:00,2019-01-21 10:00:00,中国,第四季度GDP:当季同比(%),重要,6.7,6.42,6.5,growth
2019-01-31 00:00:00,09:00,2019-01-31 09:00:00,中国,1月官方制造业PMI(%),重要,49.4,49.4,49.5,pmi
2019-02-15 00:00:00,09:30,2019-02-15 09:30:00,中国,1月PPI:同比(%),重要,0.9,0.2,0.1,inflation
